[2018-03-07 08:00:20] error-log.ALERT: Fatal Error (E_ERROR): Allowed memory size of 134217728 bytes exhausted (tried to allocate 69784 bytes) {"code":1,"message":"Allowed memory size of 134217728 bytes exhausted (tried to allocate 69784 bytes)","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/intervention/image/src/Intervention/Image/Gd/Decoder.php","line":36} []
[2018-03-08 07:33:18] error-log.ERROR: Uncaught Exception Intervention\Image\Exception\NotSupportedException: "ImageMagick module not available with this PHP installation." at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/intervention/image/src/Intervention/Image/Imagick/Driver.php line 16 {"exception":"[object] (Intervention\\Image\\Exception\\NotSupportedException(code: 0): ImageMagick module not available with this PHP installation. at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/intervention/image/src/Intervention/Image/Imagick/Driver.php:16)"} []
[2018-03-08 07:33:21] error-log.ERROR: Uncaught Exception Intervention\Image\Exception\NotSupportedException: "ImageMagick module not available with this PHP installation." at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/intervention/image/src/Intervention/Image/Imagick/Driver.php line 16 {"exception":"[object] (Intervention\\Image\\Exception\\NotSupportedException(code: 0): ImageMagick module not available with this PHP installation. at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/intervention/image/src/Intervention/Image/Imagick/Driver.php:16)"} []
[2018-03-08 18:15:36] error-log.ERROR: Uncaught Exception BadMethodCallException: "Object->__call(): the method 'removeComponentByType' does not exist on 'SilverStripe\Forms\GridField\GridFieldConfig_RelationEditor'" at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/silverstripe/framework/src/Core/CustomMethods.php line 54 {"exception":"[object] (BadMethodCallException(code: 0): Object->__call(): the method 'removeComponentByType' does not exist on 'SilverStripe\\Forms\\GridField\\GridFieldConfig_RelationEditor' at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/silverstripe/framework/src/Core/CustomMethods.php:54)"} []
[2018-03-08 18:15:39] error-log.ERROR: Uncaught Exception BadMethodCallException: "Object->__call(): the method 'removeComponentByType' does not exist on 'SilverStripe\Forms\GridField\GridFieldConfig_RelationEditor'" at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/silverstripe/framework/src/Core/CustomMethods.php line 54 {"exception":"[object] (BadMethodCallException(code: 0): Object->__call(): the method 'removeComponentByType' does not exist on 'SilverStripe\\Forms\\GridField\\GridFieldConfig_RelationEditor' at /Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/silverstripe/framework/src/Core/CustomMethods.php:54)"} []
[2018-03-08 18:15:47] error-log.ALERT: Fatal Error (E_ERROR): Class 'GridFieldAddNewMultiClassExtension' not found {"code":1,"message":"Class 'GridFieldAddNewMultiClassExtension' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/ElementalEditorExtension.php","line":19} []
[2018-03-08 18:17:06] error-log.ALERT: Fatal Error (E_ERROR): Class 'GridFieldExtensions' not found {"code":1,"message":"Class 'GridFieldExtensions' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":18} []
[2018-03-08 18:18:12] error-log.ALERT: Fatal Error (E_ERROR): Class 'DropdownField' not found {"code":1,"message":"Class 'DropdownField' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":21} []
[2018-03-08 18:19:08] error-log.ALERT: Fatal Error (E_ERROR): Class 'Config' not found {"code":1,"message":"Class 'Config' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":22} []
[2018-03-08 18:20:12] error-log.ALERT: Fatal Error (E_ERROR): Class 'Config' not found {"code":1,"message":"Class 'Config' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":22} []
[2018-03-08 18:21:06] error-log.WARNING: E_WARNING: The use statement with non-compound name 'ReflectionClass' has no effect {"code":2,"message":"The use statement with non-compound name 'ReflectionClass' has no effect","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":17} []
[2018-03-08 18:21:06] error-log.WARNING: E_WARNING: The use statement with non-compound name 'Exception' has no effect {"code":2,"message":"The use statement with non-compound name 'Exception' has no effect","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":1} []
[2018-03-08 18:21:06] error-log.ALERT: Fatal Error (E_ERROR): Class 'GridFieldAddNewMultiClass' not found {"code":1,"message":"Class 'GridFieldAddNewMultiClass' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/GridFieldAddNewMultiClassExtension.php","line":3} []
[2018-03-08 18:21:18] error-log.WARNING: E_USER_WARNING: None of the following templates could be found: GridFieldAddNewMultiClassExtension in themes "Array (     [0] => silverstripe/admin:cms-forms     [1] => $default ) " {"code":512,"message":"None of the following templates could be found: GridFieldAddNewMultiClassExtension in themes \"Array\n(\n    [0] => silverstripe/admin:cms-forms\n    [1] => $default\n)\n\"","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/silverstripe/framework/src/View/SSViewer.php","line":210} []
[2018-03-08 18:21:18] error-log.WARNING: E_WARNING: file_get_contents(): Filename cannot be empty {"code":2,"message":"file_get_contents(): Filename cannot be empty","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/vendor/silverstripe/framework/src/View/SSViewer.php","line":634} []
[2018-03-08 18:23:55] error-log.ALERT: Fatal Error (E_ERROR): Class 'DeskallGridFieldAddNewMultiClass' not found {"code":1,"message":"Class 'DeskallGridFieldAddNewMultiClass' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/ElementalEditorExtension.php","line":19} []
[2018-03-08 18:24:24] error-log.ALERT: Fatal Error (E_ERROR): Class 'DeskallGridFieldAddNewMultiClass' not found {"code":1,"message":"Class 'DeskallGridFieldAddNewMultiClass' not found","file":"/Users/guillaumepacilly/Documents/GitHub/PrimaKlima/deskall-page-blocks/src/Extensions/ElementalEditorExtension.php","line":19} []
